,host_id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
0,81292,the OCEAN HAVEN - FREE wifi,Laurel,t,"Fairhaven, Victoria, Australia",Surf Coast,5.0,$400.00,98.0
1,119103,Executive residence peaceful locale,Lynn,f,"Jan Juc, Victoria, Australia",Surf Coast,6.0,$500.00,100.0
2,357052,Otway foothills retreat,Craig,t,,Colac Otway,0.0,$283.00,94.0
3,462049,Sea-Lit - luxury plus stunning ocean views,David,f,"Port Fairy, Victoria, Australia",Moyne,4.0,$443.00,96.0
4,899909,Historic House with Sea Views,Tony,f,,Surf Coast,5.0,$500.00,100.0
5,1875131,"Charleson Farm - rural luxury, breathtaking views",Charleson,t,"Wensleydale, Victoria, Australia",Surf Coast,11.0,$476.00,98.0
6,1904475,Room with a river view & private bathroom,Les And Alison,t,"Highton, Victoria, Australia",Greater Geelong,2.0,$95.00,99.0
7,246509,"Satis Beach House, Great Ocean Road Linen provided",Fiona,t,"Aireys Inlet, Victoria, Australia",Surf Coast,4.0,$290.00,95.0
8,2377195,Riverbank Cottage Allenvale,Charles,t,,Surf Coast,4.0,$525.00,92.0
9,2416415,"Seahaven,  a room with a view",Lise,t,,Surf Coast,1.0,$133.00,99.0
10,2417695,Stunning City Townhouse,Darren And Yolanda,t,,Greater Geelong,4.0,$200.00,97.0
11,2577607,Point Lonsdale Holiday House,Alex,f,,Queenscliffe,6.0,$275.00,96.0
12,2626438,Hub for the Otway Ranges and Beyond,Ken,f,"Elliminyt, Victoria, Australia",Colac Otway,1.0,$100.00,90.0
13,2766274,"Beachfront Cottage - ""Amhurst""",Graham,t,"Port Fairy, Victoria, Australia",Moyne,1.0,$236.00,96.0
14,3005560,Beach House - A Perfect Sea View,John & Suzy,t,"Point Lonsdale, Victoria, Australia",Queenscliffe,1.0,$249.00,98.0
15,3429566,Rippleside beach townhouse Geelong,Jo,t,"North Geelong, Victoria, Australia",Greater Geelong,1.0,$120.00,98.0
16,3570625,Magic Apartment + Views@83 GREAT OCEAN ROAD Lorne,Kim,t,"Lorne, Victoria, Australia",Surf Coast,6.0,$414.00,94.0
17,1572722,Large House near Great Ocean Rd,Jacinta,t,"Fairhaven, Victoria, Australia",Surf Coast,8.0,$365.00,95.0
18,4036595,Fairhaven Retreat-Great Ocean Road,Irene,t,,Surf Coast,11.0,$223.00,94.0
19,4059412,Bondi Express 1,Geoff,f,"Codrington, Victoria, Australia",Moyne,3.0,$160.00,84.0
20,4140800,Beachside Entertainer - Apollo Bay,Stuart,f,,Colac Otway,2.0,$145.00,92.0
21,4154774,Inverness - Quiet Cottage in Otways,John,f,"Barwon Downs, Victoria, Australia",Colac Otway,3.0,$135.00,95.0
22,164384447,Eco Bay Holiday House Port Campbell.,Virginia,f,,Corangamite,2.0,$233.00,95.0
23,4393951,Sweet Dreams at Lara,Janita,f,"Lara, Victoria, Australia",Greater Geelong,2.0,$145.00,93.0
24,4422951,Tanarama: A Beach / Bush Retreat,Robert,f,,Surf Coast,7.0,$275.00,99.0
25,459921,ULTIMATE BEACHFRONT - Location and Views,Lorraine,f,,Surf Coast,2.0,$307.00,83.0
26,2417695,Beach House Apartment Eastern Beach,Darren And Yolanda,t,,Greater Geelong,3.0,$200.00,94.0
27,4456031,Point Lonsdale Beach House,Fiona,f,"Point Lonsdale, Victoria, Australia",Queenscliffe,2.0,$175.00,96.0
28,4069063,Nanna's House,Deborah,f,"Deans Marsh, Victoria, Australia",Surf Coast,3.0,$166.00,91.0
29,459921,AWESOME STUDIO - Stunning Sea Views,Lorraine,f,,Surf Coast,2.0,$307.00,89.0
30,459921,SUPREME POSITION -Amazing Coastline Views,Lorraine,f,,Surf Coast,5.0,$411.00,84.0
31,4526800,Entertainer on Great Ocean Road 4 bed holiday home,Chris,f,"Anglesea, Victoria, Australia",Surf Coast,4.0,$443.00,95.0
32,4541744,Apartment 35 - Close to Everything,Lucas,t,,Warrnambool,1.0,$173.00,97.0
33,4731549,Bells Beach Views,Marian,t,"Jan Juc, Victoria, Australia",Surf Coast,1.0,$174.00,96.0
34,4824121,Otway Ranges - boutique B&B,Carol,t,"Forrest, Victoria, Australia",Colac Otway,0.0,$215.00,99.0
35,4888844,Wilkin cottage,Sharon,t,"Strathdownie, Victoria, Australia",Glenelg,4.0,$110.00,95.0
36,4955998,GRAMPIANS HISTORIC TOBACCO KILN,Karen,t,"Moutajup, Victoria, Australia",Southern Grampians,3.0,$136.00,96.0
37,5027321,Affordable Beach House Vic,Kate,f,"St Leonards, Victoria, Australia",Greater Geelong,3.0,$130.00,92.0
38,5102281,WWW(WarmWarrnamboolWelcome),Helen (Sophie),t,"Warrnambool, Victoria, Australia",Warrnambool,3.0,$110.00,98.0
39,5293055,The Bay Beach Bungalow (Complimentary WIFI),Marie,t,,Colac Otway,1.0,$155.00,96.0
40,5709920,Great Ocean Road Hinterland Queen,Lisa,t,"Carlisle River, Victoria, Australia",Colac Otway,1.0,$200.00,99.0
41,5792522,Bells By The Beach dog-friendly house,Janice,f,"Ocean Grove, Victoria, Australia",Greater Geelong,4.0,$257.00,100.0
42,6109815,"Family Beach House, Ocean Grove - Brisa Del Mar",Dale,f,"Ocean Grove, Victoria, Australia",Greater Geelong,8.0,$300.00,87.0
43,6154547,Bellamboathouse at Fairhaven,Chris,f,"Fairhaven, Victoria, Australia",Surf Coast,3.0,$223.00,94.0
44,6358765,"Briar cottage- cosy, relaxing,",Lorraine,t,,Queenscliffe,4.0,$186.00,97.0
45,6401049,Airey's Inlet Beach-house,Alison,t,"Aireys Inlet, Victoria, Australia",Surf Coast,8.0,$314.00,90.0
46,4549647,Lorne Penthouse - stunning water views,Zora,f,"Lorne, Victoria, Australia",Surf Coast,4.0,$307.00,96.0
47,5732565,Seagrape Cottage,Christine,t,"Ocean Grove, Victoria, Australia",Greater Geelong,7.0,$171.00,94.0
48,6398917,Ocean Sounds Spectacular Ocean View,Tanja,t,"Skenes Creek, Victoria, Australia",Colac Otway,4.0,$650.00,100.0
49,3046272,Portland Vic Aust Cape Nelson Retreat,Trevor And Laima,t,"Portland , Victoria, Australia",Glenelg,3.0,$450.00,98.0
50,6398917,Fisheye9 - Ocean views and sounds!,Tanja,t,"Skenes Creek, Victoria, Australia",Colac Otway,3.0,$261.00,97.0
51,4647935,"Homestead, WiFi, Linen, Fireplace, River,Spa Bath",Rejuvenate Stays,f,"Allansford, Victoria, Australia",Warrnambool,7.0,$315.00,96.0
52,7125284,"Starhaven Retreat, a Grand Design",Robert,t,"Indented Head, Victoria, Australia",Greater Geelong,1.0,$384.00,100.0
53,7230673,Anglesea Holiday Home - Sleeps 8!,Belinda,t,"Anglesea, Victoria, Australia",Surf Coast,6.0,$275.00,94.0
54,7277677,Airey's on Hartley- Great Ocean Rd,Tim,t,"Aireys Inlet, Victoria, Australia",Surf Coast,6.0,$206.00,99.0
55,81292,LA PEROUSE- Small hotel by the sea,Laurel,t,"Lorne, Victoria, Australia",Surf Coast,1.0,$420.00,99.0
56,7710444,Golfview Lorne,Brook,f,"Lorne, Victoria, Australia",Surf Coast,7.0,$524.00,91.0
57,8016448,Workers Playtime House Barwon Heads,Glenn,f,,Greater Geelong,7.0,$381.00,90.0
58,8035610,Otway Mud Brick House,Sally,f,"Lorne, Victoria, Australia",Surf Coast,4.0,$340.00,99.0
59,8040161,"4 Bed, 2 Living Room Home overlooking Tree Tops",Claire,f,"Anglesea, Victoria, Australia",Surf Coast,7.0,$420.00,100.0
60,901220,South Geelong Studio Apartment,Carlo And Jeni,t,"South Geelong, Victoria, Australia",Greater Geelong,2.0,$100.00,99.0
61,8641535,B&B Barrabool Hills Retreat.,Lorelle,f,"Barrabool, Victoria, Australia",Surf Coast,3.0,$75.00,87.0
62,8641535,"Barrabool Hills Retreat B&B, Vic.",Lorelle,f,"Barrabool, Victoria, Australia",Surf Coast,3.0,$75.00,95.0
63,8716182,Jindibah Bird Haven,Leanne,f,,Surf Coast,4.0,$169.00,88.0
64,3784933,Port Fairy Close to Beaches & Shops,Trish,t,"Port Fairy, Vic, Australia",Moyne,8.0,$300.00,93.0
